STATE,Districts,Languages
BIHAR,BHAGALPUR,ANGIKA
BIHAR,JAMUI,ANGIKA
BIHAR,MUNGER,ANGIKA
JHARKHAND,BOKARO,ANGIKA
JHARKHAND,DHANBAD,ANGIKA
JHARKHAND,DUMKA,ANGIKA
JHARKHAND,GODDA,ANGIKA
JHARKHAND,JAMTARA,ANGIKA
JHARKHAND,PAKUR,ANGIKA
JHARKHAND,RAMGARH,ANGIKA
JHARKHAND,SAHEBGANJ,ANGIKA
ASSAM,BAKSA,ASSAMESE
ASSAM,BARPETA,ASSAMESE
ASSAM,BISWANATH,ASSAMESE
ASSAM,BONGAIGAON,ASSAMESE
ASSAM,CACHAR,ASSAMESE
ASSAM,CHIRANG,ASSAMESE
ASSAM,DARRANG,ASSAMESE
ASSAM,DHEMAJI,ASSAMESE
ASSAM,DHUBRI,ASSAMESE
ASSAM,DIBRUGARH,ASSAMESE
ASSAM,GOALPARA,ASSAMESE
ASSAM,HAILAKANDI,ASSAMESE
ASSAM,JORHAT,ASSAMESE
ASSAM,KAMRUP,ASSAMESE
ASSAM,KAMRUP METRO,ASSAMESE
ASSAM,KARIMGANJ,ASSAMESE
ASSAM,KOKRAJHAR,ASSAMESE
ASSAM,LAKHIMPUR,ASSAMESE
ASSAM,MARIGAON,ASSAMESE
ASSAM,NAGAON,ASSAMESE
ASSAM,NALBARI,ASSAMESE
ASSAM,SIVASAGAR,ASSAMESE
ASSAM,SONITPUR,ASSAMESE
ASSAM,TINSUKIA,ASSAMESE
ASSAM,UDALGURI,ASSAMESE
UTTAR PRADESH,ALLAHABAD,AWADHI
UTTAR PRADESH,AMBEDKAR NAGAR,AWADHI
UTTAR PRADESH,AMETHI,AWADHI
UTTAR PRADESH,AYODHYA,AWADHI
UTTAR PRADESH,BAHRAICH,AWADHI
UTTAR PRADESH,BALRAMPURA,AWADHI
UTTAR PRADESH,BARABANKI,AWADHI
UTTAR PRADESH,BASTI,AWADHI
UTTAR PRADESH,FATEHPUR,AWADHI
UTTAR PRADESH,GONDA,AWADHI
UTTAR PRADESH,KAUSHAMBI,AWADHI
UTTAR PRADESH,LUCKNOW,AWADHI
UTTAR PRADESH,MIRZAPUR,AWADHI
UTTAR PRADESH,PRATAPGADH,AWADHI
UTTAR PRADESH,RAE BARELI,AWADHI
UTTAR PRADESH,SITAPUR,AWADHI
UTTAR PRADESH,SULTANPUR,AWADHI
UTTAR PRADESH,UNNAO,AWADHI
HIMACHAL PRADESH,SOLAN,BAGHATI
MADHYA PRADESH,ANUPPUR,BAGHELI
MADHYA PRADESH,KATNI,BAGHELI
MADHYA PRADESH,REWA,BAGHELI
MADHYA PRADESH,SATNA,BAGHELI
MADHYA PRADESH,SHAHDOL,BAGHELI
MADHYA PRADESH,SIDHI,BAGHELI
MADHYA PRADESH,SINGRAULI,BAGHELI
MADHYA PRADESH,UMARIA,BAGHELI
UTTAR PRADESH,CHITRAKOOT,BAGHELI
HARYANA,BHIWANI,BAGRI
HARYANA,HISAR,BAGRI
HARYANA,SIRSA,BAGRI
RAJASTHAN,BIKANER,BAGRI
RAJASTHAN,CHURU,BAGRI
RAJASTHAN,GANGANAGAR,BAGRI
RAJASTHAN,HANUMANGARH,BAGRI
BIHAR,MUZAFFARPUR,BAJJIKA
BIHAR,PURBI CHAMPARAN,BAJJIKA
BIHAR,SARAN,BAJJIKA
BIHAR,SHEOHAR,BAJJIKA
BIHAR,SITAMARHI,BAJJIKA
KHYBER PAKHTUNKHWA,SHANGLA,BASHKARIK
BANGLADESH,BANGLADESH,BENGALI
WEST BENGAL,ALIPURDUAR,BENGALI
WEST BENGAL,BANKURA,BENGALI
WEST BENGAL,BIRBHUM,BENGALI
WEST BENGAL,COOCHBEHAR,BENGALI
WEST BENGAL,DARJEELING,BENGALI
WEST BENGAL,DINAJPUR DAKSHIN,BENGALI
WEST BENGAL,DINAJPUR UTTAR,BENGALI
WEST BENGAL,HOOGHLY,BENGALI
WEST BENGAL,HOWRAH,BENGALI
WEST BENGAL,JALPAIGURI,BENGALI
WEST BENGAL,JHARGRAM,BENGALI
WEST BENGAL,KALIMPONG,BENGALI
WEST BENGAL,MALDAH,BENGALI
WEST BENGAL,MEDINIPUR EAST,BENGALI
WEST BENGAL,MEDINIPUR WEST,BENGALI
WEST BENGAL,MURSHIDABAD,BENGALI
WEST BENGAL,NADIA,BENGALI
WEST BENGAL,PARAGANAS NORTH,BENGALI
WEST BENGAL,PARAGANAS SOUTH,BENGALI
WEST BENGAL,PASCHIM BARDHAMAN,BENGALI
WEST BENGAL,PURBA BARDHAMAN,BENGALI
WEST BENGAL,PURULIA,BENGALI
JAMMU AND KASHMIR,KATHUA,BHADRAWA HI-KHASHALI-BHALESI
JAMMU AND KASHMIR,SAMBA,BHADRAWA HI-KHASHALI-BHALESI
JAMMU AND KASHMIR,UDHAMPUR,BHADRAWA HI-KHASHALI-BHALESI
ODISHA,KORAPUT,BHATRI
ODISHA,NABARANGPUR,BHATRI
CHHATTISGARH,BALOD,BHATTI
CHHATTISGARH,KONDAGAON,BHATTI
