Languages,Dialect Name,Dialects,Districts,State
MAITHILI,ANGIKA,ANGIKA,BANKA,BIHAR
MAITHILI,ANGIKA,ANGIKA,BHAGALPUR,BIHAR
MAITHILI,ANGIKA,ANGIKA,JAMUI,BIHAR
MAITHILI,ANGIKA,ANGIKA,MUNGER,BIHAR
ANGIKA,ANGIKA,ANGIKA,BOKARO,JHARKHAND
ANGIKA,ANGIKA,ANGIKA,DHANBAD,JHARKHAND
ANGIKA,ANGIKA,ANGIKA,DUMKA,JHARKHAND
ANGIKA,ANGIKA,ANGIKA,GODDA,JHARKHAND
ANGIKA,ANGIKA,ANGIKA,JAMTARA,JHARKHAND
ANGIKA,ANGIKA,ANGIKA,PAKUR,JHARKHAND
ANGIKA,ANGIKA,ANGIKA,RAMGARH,JHARKHAND
ANGIKA,ANGIKA,ANGIKA,SAHEBGANJ,JHARKHAND
ASSAMESE,ASSAMESE,ASSAMESE,BISWANATH,ASSAM
ASSAMESE,ASSAMESE,ASSAMESE,DARRANG,ASSAM
ASSAMESE,ASSAMESE,ASSAMESE,UDALGURI,ASSAM
ASSAMESE,ASSAMESE,CENTRAL ASSAMESE,MARIGAON,ASSAM
ASSAMESE,ASSAMESE,CENTRAL ASSAMESE,NAGAON,ASSAM
ASSAMESE,ASSAMESE,CENTRAL ASSAMESE,SONITPUR,ASSAM
ASSAMESE,ASSAMESE,EASTERN ASSAMESE,CHARAIDEO,ASSAM
ASSAMESE,ASSAMESE,EASTERN ASSAMESE,DHEMAJI,ASSAM
ASSAMESE,ASSAMESE,EASTERN ASSAMESE,DIBRUGARH,ASSAM
ASSAMESE,ASSAMESE,EASTERN ASSAMESE,GOLAGHAT,ASSAM
ASSAMESE,ASSAMESE,EASTERN ASSAMESE,JORHAT,ASSAM
ASSAMESE,ASSAMESE,EASTERN ASSAMESE,LAKHIMPUR,ASSAM
ASSAMESE,ASSAMESE,EASTERN ASSAMESE,MAJULI,ASSAM
ASSAMESE,ASSAMESE,EASTERN ASSAMESE,SIVASAGAR,ASSAM
ASSAMESE,ASSAMESE,EASTERN ASSAMESE,TINSUKIA,ASSAM
ASSAMESE,ASSAMESE,GOALPARIYA,BONGAIGAON,ASSAM
ASSAMESE,ASSAMESE,GOALPARIYA,CHIRANG,ASSAM
ASSAMESE,ASSAMESE,GOALPARIYA,DHUBRI,ASSAM
ASSAMESE,ASSAMESE,GOALPARIYA,GOALPARA,ASSAM
ASSAMESE,ASSAMESE,GOALPARIYA,KOKRAJHAR,ASSAM
ASSAMESE,ASSAMESE,KAMRUPI,BAKSA,ASSAM
ASSAMESE,ASSAMESE,KAMRUPI,BARPETA,ASSAM
ASSAMESE,ASSAMESE,KAMRUPI,GOALPARA,ASSAM
ASSAMESE,ASSAMESE,KAMRUPI,KAMRUP,ASSAM
